Empresa,Estado,Descripcion
"Heat & Power Systems, S.A. de C.V.",Estado de mexico - Mexico,"Somos una empresa dedicada al desarrollo y ejecucion de proyectos de ahorro de energia termica y cogeneracion, llave en mano, con el aporte de estrategias de solucion.Levantamos, desarrollamos, disenamos, fabricamos y instalamos de A a Z todos los proyectos que hacemos, que sean con las industrias o... Ver su perfil
Proveedor de:
Maquinaria y equipos para lecherias
Pasteurizacion de leche
Maquinaria y equipos para la industria huevera y de ovoproductos..."
HIELO Y AGUA PURIFICADA LA NORIA,Ciudad acuna - Mexico,"Comercio al por mayor de bebidas no alcoholicas y hielo
Proveedor de:
Bebidas
Zumos de frutas
Limonada, gaseosas y bebidas sin alcohol..."
HIELO TEXCOCO SA DE CV,Texcoco de mora - Mexico,"Comercio al por mayor de bebidas no alcoholicas y hielo
Proveedor de:
Bebidas
Zumos de frutas
Limonada, gaseosas y bebidas sin alcohol..."
HUELLAS Y PASOS,Playa del carmen - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
HIELO ROCA SA DE CV,Chihuahua - Mexico,"Elaboracion de hielo
Proveedor de:
Hielo
Bebidas"
Agrokarma,Zapopan - Mexico,"Venta de chile habanero fresco, deshidratado, y salsas gourmet de chile habanero + Aceite de oliva.
Proveedor de:
Verduras de frutas
Ajis o chiles"
HIELERA DEL MAYO SA DE CV,Navojoa - Mexico,"Comercio al por mayor de bebidas no alcoholicas y hielo
Proveedor de:
Bebidas
Zumos de frutas
Limonada, gaseosas y bebidas sin alcohol..."
INSUMOS Y RIEGOS DEL SUR SA DE CV,El rosario - Mexico,"Comercio al por mayor de semillas y granos alimenticios, especias y chiles secos
Proveedor de:
Agricultura y silvicultura
Semillas comestibles
Alimentacion..."
INSUMOS PECUARIOS E INDUSTRIALES SA DE CV,Zapopan - Mexico,"Comercio al por mayor de medicamentos veterinarios y alimentos para animales, excepto mascotas
Proveedor de:
Alimentacion
Piensos y alimentos para animales
Preparaciones farmaceuticas para veterinaria..."
HIDROSOLUCIONES AMBIENTALES DE MEXICO SA DE CV,Coatzacoalcos - Mexico,"Fabricacion de maquinaria y equipo para la construccion
Proveedor de:
Maquinaria y equipos para agricultura y silvicultura
Maquinaria y equipos para silvicultura
Maquinaria y equipos de construccion para la ingenieria civil..."
J Y A ARQUITECTURA Y DISE?,Saltillo - Mexico,"Fabricacion de maquinaria y equipo para la construccion
Proveedor de:
Maquinaria y equipos para agricultura y silvicultura
Maquinaria y equipos para silvicultura
Maquinaria y equipos de construccion para la ingenieria civil..."
HIELO CRYSTAL DE CHAVEZ SA DE CV,Francisco i madero - Mexico,"Elaboracion de hielo
Proveedor de:
Hielo
Bebidas"
HIELO DE CULIACAN SA DE CV,Culiacan - Mexico,"Elaboracion de hielo
Proveedor de:
Hielo
Bebidas"
INSURBA SA INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO INSURBA,Playa del carmen - Mexico,"Servicios veterinarios para la ganaderia prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Servicios veterinarios y especializados para la zootecnia"
HIELERA RUIZ SA DE CV,Huatabampo - Mexico,"Comercio al por mayor de bebidas no alcoholicas y hielo
Proveedor de:
Bebidas
Zumos de frutas
Limonada, gaseosas y bebidas sin alcohol..."
HIELO CRISTAL DE LEON SA DE CV,Leon de los aldama (leon) - Mexico,"Elaboracion de hielo
Proveedor de:
Hielo
Bebidas"
HIERBAS DULCES HERBATROPIC S DE RL DE CV,Tuxtla gutierrez - Mexico,"Comercio al por mayor de semillas y granos alimenticios, especias y chiles secos
Proveedor de:
Agricultura y silvicultura
Semillas comestibles
Alimentacion..."
HUEVO BACHOCO,Durango - Mexico,"Comercio al por mayor de huevo
Proveedor de:
Huevos
Ganaderia y pesca
Alimentos, bebidas y tabaco (al por mayor)..."
J.A.S. DE OCCIDENTE SA DE CV,Guadalajara - Mexico,"Fabricacion de maquinaria y equipo agricola
Proveedor de:
Maquinaria y equipos para agricultura y silvicultura
Tractores para la agricultura
Maquinas para labrar la tierra, rastrilladores y gradas..."
HUEVO SAN ISIDRO SA DE CV,Poza rica (poza rica de hidalgo) - Mexico,"Comercio al por mayor de huevo
Proveedor de:
Huevos
Ganaderia y pesca
Alimentos, bebidas y tabaco (al por mayor)..."
HIELO Y REFRIGERACION DE VERACRUZ S. A,Veracruz - Mexico,"Comercio al por mayor de bebidas no alcoholicas y hielo
Proveedor de:
Bebidas
Zumos de frutas
Limonada, gaseosas y bebidas sin alcohol..."
HUESITOS,Puebla (heroica puebla) - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
IMPULSORA AGROPECUARIA TABASQUENO S DE RL DE CV,Huimanguillo - Mexico,"Otros servicios relacionados con la agricultura
Proveedor de:
Agricultura y silvicultura
Servicios de agricultura y horticultura"
HUERTA RUIZ ALBA BLANCA MARGARITA,Puebla (heroica puebla) - Mexico,"Elaboracion de alimentos para animales
Proveedor de:
Alimentacion
Piensos y alimentos para animales"
HIELO Y REFRIGERACION,Escuinapa - Mexico,"Comercio al por mayor de bebidas no alcoholicas y hielo
Proveedor de:
Bebidas
Zumos de frutas
Limonada, gaseosas y bebidas sin alcohol..."
HIELO Y AGUA DE VICTORIA SA DE CV,Ciudad victoria - Mexico,"Elaboracion de hielo
Proveedor de:
Hielo
Bebidas"
HIELO TOLUCA SA DE CV,Toluca de lerdo - Mexico,"Elaboracion de hielo
Proveedor de:
Hielo
Bebidas"
HUELLITAS QUE TE SIGUEN,Orizaba - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
MALVINAS SA DE CV,Tampico - Mexico,"Otros servicios relacionados con la agricultura
Proveedor de:
Agricultura y silvicultura
Servicios de agricultura y horticultura"
ZOLO MASCOTAS VETERINARIA,Nogales - Mexico,"Comercio al por mayor de medicamentos veterinarios y alimentos para animales, excepto mascotas
Proveedor de:
Alimentacion
Piensos y alimentos para animales
Preparaciones farmaceuticas para veterinaria..."
MARTHA COLIN LARA,Puebla (heroica puebla) - Mexico,"Preparacion de embutidos y otras conservas de carne de ganado, aves y otros animales comestibles
Proveedor de:
Salchichas, embutidos y salchichones
Alimentacion
Procesado de carne y carne de caza"
ZUKI,Morelia - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
ZOO MUNDO SPA VETERINARIA,Gomez palacio - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
ZOO COMERCIALIZADORA AGROPECUARIA SA DE CV,Zapopan - Mexico,"Comercio al por mayor de medicamentos veterinarios y alimentos para animales, excepto mascotas
Proveedor de:
Alimentacion
Piensos y alimentos para animales
Preparaciones farmaceuticas para veterinaria..."
MAQUINARIA Y REFACCIONES BCH SA DE CV,Guadalupe (ciudad guadalupe) - Mexico,"Fabricacion de maquinaria y equipo para la construccion
Proveedor de:
Maquinaria y equipos para agricultura y silvicultura
Maquinaria y equipos para silvicultura
Maquinaria y equipos de construccion para la ingenieria civil..."
COMERCIALIZADORA DE CARNICOS TOBY,Toluca de lerdo - Mexico,"Comercio al por mayor de carnes rojas
Proveedor de:
Alimentacion
Productos de matadero, no procesados
Procesado de carne y carne de caza..."
CARNICERIA SAN JORGE SA DE CV,Zapopan - Mexico,"Comercio al por mayor de carnes rojas
Proveedor de:
Alimentacion
Productos de matadero, no procesados
Procesado de carne y carne de caza..."
CARNICERIA PECHE,Tuxpam de rodriguez cano - Mexico,"Corte y empacado de carne de ganado, aves y otros animales comestibles
Proveedor de:
Alimentacion
Productos de matadero, no procesados"
COMERCIALIZADORA DE CARNES SAN JOSE SA DE CV,Guadalupe (ciudad guadalupe) - Mexico,"Comercio al por mayor de carnes rojas
Proveedor de:
Alimentacion
Productos de matadero, no procesados
Procesado de carne y carne de caza..."
COMERCIALIZADORA DE CARNES MOLOLO SA DE CV,Boca del rio - Mexico,"Comercio al por mayor de carnes rojas
Proveedor de:
Alimentacion
Productos de matadero, no procesados
Procesado de carne y carne de caza..."
COMERCIALIZADORA DE CARNES MARIA CRISTINA SA DE CV,Guadalupe (ciudad guadalupe) - Mexico,"Comercio al por mayor de carnes rojas
Proveedor de:
Alimentacion
Productos de matadero, no procesados
Procesado de carne y carne de caza..."
CARNICERIA MONSE,Toluca de lerdo - Mexico,"Comercio al por mayor de carnes rojas
Proveedor de:
Alimentacion
Productos de matadero, no procesados
Procesado de carne y carne de caza..."
CLINICA DOBUTSU,Chihuahua - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
COMERCIALIZADORA NUTRIALIMENTOS SA DE CV,Ciudad de mexico - Mexico,"Comercio al por mayor de carnes rojas
Proveedor de:
Alimentacion
Productos de matadero, no procesados
Procesado de carne y carne de caza..."
CARNICOS ZAPOPAN SA DE CV,Zapopan - Mexico,"Corte y empacado de carne de ganado, aves y otros animales comestibles
Proveedor de:
Alimentacion
Productos de matadero, no procesados"
CARNICOS JOPAAR S.P.R. DE R.L. DE C.V.,Nuevo casas grandes - Mexico,"Matanza de ganado, aves y otros animales comestibles
Proveedor de:
Alimentacion
Mataderos"
CARNICOS DE JEREZ SA DE CV,Jerez (jerez de garcia salinas) - Mexico,"Corte y empacado de carne de ganado, aves y otros animales comestibles
Proveedor de:
Alimentacion
Productos de matadero, no procesados"
CARNICOS 2000,Toluca de lerdo - Mexico,"Comercio al por mayor de carnes rojas
Proveedor de:
Alimentacion
Productos de matadero, no procesados
Procesado de carne y carne de caza..."
CIA. ALIMENTICIA RIVERA ROMO SA DE CV,Aguascalientes - Mexico,"Panificacion industrial
Proveedor de:
Alimentacion
Productos de panaderia congelados rapidamente
Postres y reposteria, congelados y ultracongelados..."
CLINICA MEDICA SANTA MONICA,Queretaro - Mexico,"Comercio al por mayor de medicamentos veterinarios y alimentos para animales, excepto mascotas
Proveedor de:
Alimentacion
Piensos y alimentos para animales
Preparaciones farmaceuticas para veterinaria..."
CARNICERIA Y TENDEJON DE KARINA,Campeche - Mexico,"Comercio al por mayor de carnes rojas
Proveedor de:
Alimentacion
Productos de matadero, no procesados
Procesado de carne y carne de caza..."
CARNICERIA Y SALCHICHONERIA EL HUAJUCO,Monterrey - Mexico,"Comercio al por mayor de carnes rojas
Proveedor de:
Alimentacion
Productos de matadero, no procesados
Procesado de carne y carne de caza..."
CARNICERIA Y FRUTERIA JR,Culiacan - Mexico,"Matanza de ganado, aves y otros animales comestibles
Proveedor de:
Alimentacion
Mataderos"
CARNICERIA SOLIS,Poza rica (poza rica de hidalgo) - Mexico,"Comercio al por mayor de carnes rojas
Proveedor de:
Alimentacion
Productos de matadero, no procesados
Procesado de carne y carne de caza..."
CENTRO DULCERO DE MONCLOVA SA DE CV,Monclova - Mexico,"Comercio al por mayor de dulces y materias primas para reposteria
Proveedor de:
Confiteria
Alimentacion
Alimentos, bebidas y tabaco (al por mayor)..."
CLINICA EQUINA SAN JOSE SA DE CV,Veracruz - Mexico,"Comercio al por mayor de medicamentos veterinarios y alimentos para animales, excepto mascotas
Proveedor de:
Alimentacion
Piensos y alimentos para animales
Preparaciones farmaceuticas para veterinaria..."
CARNICERIA MIRAVISTA,General escobedo - Mexico,"Comercio al por mayor de carnes rojas
Proveedor de:
Alimentacion
Productos de matadero, no procesados
Procesado de carne y carne de caza..."
CARNICERIA MIGUEL HERNANDEZ,Torreon - Mexico,"Comercio al por mayor de carnes rojas
Proveedor de:
Alimentacion
Productos de matadero, no procesados
Procesado de carne y carne de caza..."
CARNICERIA NABEH SA DE CV,Guadalupe (ciudad guadalupe) - Mexico,"Comercio al por mayor de carnes rojas
Proveedor de:
Alimentacion
Productos de matadero, no procesados
Procesado de carne y carne de caza..."
COMERCIALIZADORA DE GRANOS LOS ARBOLITOS SA DE CV,Angostura - Mexico,"Comercio al por mayor de semillas y granos alimenticios, especias y chiles secos
Proveedor de:
Agricultura y silvicultura
Semillas comestibles
Alimentacion..."
COMERCIALIZADORA NYMSER SA DE CV,Monterrey - Mexico,"Fabricacion de maquinaria y equipo para la construccion
Proveedor de:
Maquinaria y equipos para agricultura y silvicultura
Maquinaria y equipos para silvicultura
Maquinaria y equipos de construccion para la ingenieria civil..."
CARNITAS DEL FIDEL,Durango - Mexico,"Comercio al por mayor de carnes rojas
Proveedor de:
Alimentacion
Productos de matadero, no procesados
Procesado de carne y carne de caza..."
IVAN MANUEL HERNANDEZ CAMACHO,Cordoba - Mexico,"Fabricacion de maquinaria y equipo para la construccion
Proveedor de:
Maquinaria y equipos para agricultura y silvicultura
Maquinaria y equipos para silvicultura
Maquinaria y equipos de construccion para la ingenieria civil..."
INDUSTRIAS NAVARRO ULLOA SA DE CV,Guadalajara - Mexico,"Comercio al por mayor de dulces y materias primas para reposteria
Proveedor de:
Confiteria
Alimentacion
Alimentos, bebidas y tabaco (al por mayor)..."
LALLEMANDA MEXICO SA DE CV,Cuautitlan izcalli - Mexico,"Elaboracion de levadura
Proveedor de:
Alimentacion
Levadura para alimentos y bebidas"
LALA ADMINISTRACION Y CONTROL SA DE CV,Gomez palacio - Mexico,"Elaboracion de gelatinas y otros postres en polvo
Proveedor de:
Alimentacion
Procesado de frutas
Confitura a base de fruta..."
INDUSTRIAS MARINOS SA DE CV,Mazatlan - Mexico,"Beneficio del cafe
Proveedor de:
Agricultura y silvicultura
Servicios de pre-procesamiento de cafe
Servicios de tratamientos de productos agricolas"
INDUSTRIAS JOHN DEERE SA DE CV,Saltillo - Mexico,"Beneficio de productos agricolas
Proveedor de:
Agricultura y silvicultura
Servicios de conservacion y envasado de productos agricolas
Servicios de tratamientos de productos agricolas"
KOBAT ESPECIALISTAS EN FAUNA SILVESTRE SA DE CV,Tuxtla gutierrez - Mexico,"Comercio al por mayor de medicamentos veterinarios y alimentos para animales, excepto mascotas
Proveedor de:
Alimentacion
Piensos y alimentos para animales
Preparaciones farmaceuticas para veterinaria..."
VICTORIA PALMA SA DE CV,Veracruz - Mexico,"Comercio al por mayor de dulces y materias primas para reposteria
Proveedor de:
Confiteria
Alimentacion
Alimentos, bebidas y tabaco (al por mayor)..."
LA BOUTIC DEL PASTEL,Teapa - Mexico,"Comercio al por mayor de pan y pasteles
Proveedor de:
Alimentacion
Pasteles y tartas
Pan..."
PIELES DE MINATITLAN SA DE CV,Minatitlan - Mexico,"Preparacion de embutidos y otras conservas de carne de ganado, aves y otros animales comestibles
Proveedor de:
Salchichas, embutidos y salchichones
Alimentacion
Procesado de carne y carne de caza"
"LAS CERVEZAS MODELO EN NUEVO LEON, NUEVO LEON SA DE CV",San nicolas de los garza - Mexico,"Comercio al por mayor de cerveza
Proveedor de:
Cervezas
Bebidas
Alimentos, bebidas y tabaco (al por mayor)..."
LA CARNICERIA CU-CU SA DE CV,Guadalajara - Mexico,"Comercio al por mayor de carnes rojas
Proveedor de:
Alimentacion
Productos de matadero, no procesados
Procesado de carne y carne de caza..."
LAS CERVEZAS MODELO EN NUEO LEON SA DE CV,Guadalupe (ciudad guadalupe) - Mexico,"Comercio al por mayor de cerveza
Proveedor de:
Cervezas
Bebidas
Alimentos, bebidas y tabaco (al por mayor)..."
TECNOLOGIA Y PROYECTOS SIDERURGICOS SA DE CV,Puebla (heroica puebla) - Mexico,"Fabricacion de maquinaria y equipo para la construccion
Proveedor de:
Maquinaria y equipos para agricultura y silvicultura
Maquinaria y equipos para silvicultura
Maquinaria y equipos de construccion para la ingenieria civil..."
LA SEVILLANA GOURMET S.A.,Villahermosa - Mexico,"Elaboracion de ron y otras bebidas destiladas de cana
Proveedor de:
Aguardientes y bebidas espiritosas
Bebidas
Ron"
"MASCOTAS, VETERINARIA Y ESTETICA CANINA",Santa catarina - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
LA CABA? DE ZERME?.,San julian - Mexico,"Elaboracion de dulces, chicles y productos de confiteria que no sean de chocolate
Proveedor de:
Confiteria
Alimentacion"
LA SURICATTA,Morelia - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
LAS CERVEZAS MODELO EN GUERRERO SA DE CV,Iguala de la independencia - Mexico,"Comercio al por mayor de cerveza
Proveedor de:
Cervezas
Bebidas
Alimentos, bebidas y tabaco (al por mayor)..."
LA TAHONA,Oaxaca (oaxaca de juarez) - Mexico,"Comercio al por mayor de pan y pasteles
Proveedor de:
Alimentacion
Pasteles y tartas
Pan..."
VIDALS REPOSTERIA,Puebla (heroica puebla) - Mexico,"Comercio al por mayor de pan y pasteles
Proveedor de:
Alimentacion
Pasteles y tartas
Pan..."
VIDA,Escuinapa - Mexico,"Comercio al por mayor de bebidas no alcoholicas y hielo
Proveedor de:
Bebidas
Zumos de frutas
Limonada, gaseosas y bebidas sin alcohol..."
FRUTALES URNAMENTALES Y MATERIAL VEGETATIVO,San cristobal de las casas - Mexico,"Servicios de instalacion y mantenimiento de areas verdes
Proveedor de:
Agricultura y silvicultura
Servicios paisajistas"
